N,Impacto,Tiempo,porcentajeVecindad,cantItSinMejoras
16,19.0,1796.9015,0.7,8500
16,19.0,1908.72,0.7,9000
16,19.0,2045.9585,0.7,9500
16,13.0,134.36825,0.7999999999999999,500
16,13.0,134.34290000000004,0.7999999999999999,1000
16,19.0,463.4286,0.7999999999999999,1500
16,19.0,556.36285,0.7999999999999999,2000
16,19.0,656.6057500000001,0.7999999999999999,2500
16,19.0,764.59925,0.7999999999999999,3000
16,19.0,862.0340999999999,0.7999999999999999,3500
16,19.0,968.96355,0.7999999999999999,4000
16,19.0,1083.384,0.7999999999999999,4500
16,19.0,1198.8685,0.7999999999999999,5000
16,19.0,1317.7065,0.7999999999999999,5500
16,19.0,1458.1359999999997,0.7999999999999999,6000
16,19.0,1587.0500000000002,0.7999999999999999,6500
16,19.0,1716.6125,0.7999999999999999,7000
16,19.0,1860.1600000000003,0.7999999999999999,7500
16,19.0,1990.7185000000002,0.7999999999999999,8000
16,19.0,2142.740500000001,0.7999999999999999,8500
16,19.0,2285.53,0.7999999999999999,9000
16,19.0,2434.0125,0.7999999999999999,9500
24,21.0,40.889089999999996,0.1,500
24,21.0,40.67362000000001,0.1,1000
24,21.0,72.81962,0.1,1500
24,31.0,359.43345000000005,0.1,2000
24,31.0,394.65259999999995,0.1,2500
24,31.0,424.04385,0.1,3000
24,31.0,454.54689999999994,0.1,3500
24,31.0,489.2240500000001,0.1,4000
24,31.0,522.7367,0.1,4500
24,31.0,552.25735,0.1,5000
24,31.0,583.4131500000001,0.1,5500
24,31.0,615.1659,0.1,6000
24,31.0,648.7103,0.1,6500
24,31.0,688.5304000000001,0.1,7000
24,31.0,721.6818999999999,0.1,7500
24,31.0,752.7124499999999,0.1,8000
24,31.0,789.9543000000001,0.1,8500
24,31.0,826.8411500000002,0.1,9000
24,31.0,856.87195,0.1,9500
24,21.0,86.26953,0.2,500
24,21.0,87.178435,0.2,1000
24,31.0,385.1031,0.2,1500
24,31.0,438.41459999999995,0.2,2000
24,31.0,494.37435000000005,0.2,2500
24,31.0,547.4158,0.2,3000
24,31.0,605.2488,0.2,3500
24,31.0,655.1687,0.2,4000
24,31.0,712.7843499999999,0.2,4500
24,31.0,761.2854,0.2,5000
24,31.0,819.0331000000001,0.2,5500
24,31.0,877.3847,0.2,6000
24,31.0,933.24305,0.2,6500
24,31.0,997.9647000000001,0.2,7000
24,31.0,1045.0135,0.2,7500
24,31.0,1104.9050000000002,0.2,8000
24,31.0,1163.6444999999999,0.2,8500
24,31.0,1220.9924999999998,0.2,9000
24,31.0,1276.262,0.2,9500
24,21.0,130.59480000000002,0.30000000000000004,500
24,21.0,130.23345,0.30000000000000004,1000
24,32.0,613.72375,0.30000000000000004,1500
24,32.0,704.2397000000001,0.30000000000000004,2000
24,32.0,786.9157500000002,0.30000000000000004,2500
24,32.0,877.36445,0.30000000000000004,3000
24,32.0,963.6586500000001,0.30000000000000004,3500
24,32.0,1049.7809999999997,0.30000000000000004,4000
24,32.0,1135.3509999999999,0.30000000000000004,4500
24,32.0,1219.2555000000002,0.30000000000000004,5000
24,32.0,1308.6879999999999,0.30000000000000004,5500
24,32.0,1395.6770000000001,0.30000000000000004,6000
24,32.0,1489.279,0.30000000000000004,6500
24,32.0,1568.5804999999996,0.30000000000000004,7000
24,32.0,1656.2814999999998,0.30000000000000004,7500
24,32.0,1747.2724999999998,0.30000000000000004,8000
24,32.0,1841.3794999999998,0.30000000000000004,8500
24,32.0,1918.524,0.30000000000000004,9000
24,32.0,2008.877,0.30000000000000004,9500
24,21.0,177.26535,0.4,500
24,21.0,176.14434999999997,0.4,1000
24,29.0,596.17975,0.4,1500
24,29.0,701.4218000000001,0.4,2000
24,29.0,817.8174500000001,0.4,2500
24,29.0,932.2107,0.4,3000
24,29.0,1058.2735000000005,0.4,3500
24,29.0,1165.0080000000003,0.4,4000
24,29.0,1283.353,0.4,4500
24,29.0,1408.1925,0.4,5000
24,29.0,1538.1309999999999,0.4,5500
24,29.0,1670.1704999999997,0.4,6000
24,29.0,1800.4354999999996,0.4,6500
24,29.0,1934.1995000000002,0.4,7000
24,29.0,2073.875,0.4,7500
24,29.0,2243.9374999999995,0.4,8000
24,29.0,2426.8545,0.4,8500
24,29.0,2600.9745000000003,0.4,9000
24,29.0,2726.9565000000002,0.4,9500
24,22.0,231.29770000000002,0.5,500
24,22.0,231.50640000000007,0.5,1000
24,31.0,835.1571,0.5,1500
24,31.0,976.3748499999998,0.5,2000
24,31.0,1106.5795,0.5,2500
24,31.0,1251.819,0.5,3000
24,31.0,1380.209,0.5,3500
24,31.0,1513.6855,0.5,4000
24,31.0,1650.7074999999998,0.5,4500
24,31.0,1785.6145000000004,0.5,5000
24,31.0,1938.6100000000001,0.5,5500
24,31.0,2082.6459999999997,0.5,6000
24,31.0,2223.7120000000004,0.5,6500
24,31.0,2362.697500000001,0.5,7000
24,31.0,2509.9334999999996,0.5,7500
24,31.0,2661.4470000000006,0.5,8000
24,31.0,2802.0265,0.5,8500
24,31.0,2938.6334999999995,0.5,9000
24,31.0,3095.8384999999994,0.5,9500
24,21.0,276.43219999999997,0.6,500
24,21.0,279.26879999999994,0.6,1000
24,27.0,836.49755,0.6,1500
24,27.0,1013.3306000000002,0.6,2000
24,29.0,2236.8255000000004,0.6,2500
24,29.0,2476.6895000000004,0.6,3000
24,29.0,2731.5455,0.6,3500
24,29.0,2972.6400000000003,0.6,4000
24,29.0,3232.4894999999997,0.6,4500
24,29.0,3600.7879999999996,0.6,5000
24,29.0,3913.647000000001,0.6,5500
24,29.0,4216.324500000001,0.6,6000
24,29.0,4478.718000000001,0.6,6500
24,29.0,4778.01,0.6,7000
24,29.0,5019.594500000001,0.6,7500
24,29.0,5347.142000000001,0.6,8000
24,29.0,5588.277000000001,0.6,8500
24,29.0,5648.5885,0.6,9000
24,29.0,5964.489500000001,0.6,9500
24,21.0,322.56145000000004,0.7,500
24,21.0,322.75299999999993,0.7,1000
24,33.0,1106.9850000000001,0.7,1500
24,33.0,1302.1670000000001,0.7,2000
24,33.0,1496.3165000000001,0.7,2500
24,33.0,1689.8549999999996,0.7,3000
24,33.0,1887.1204999999998,0.7,3500
24,33.0,2084.3544999999995,0.7,4000
24,33.0,2284.1420000000003,0.7,4500
24,33.0,2478.2769999999996,0.7,5000
24,33.0,2725.178,0.7,5500
24,33.0,2875.9404999999997,0.7,6000
24,33.0,3075.5435000000007,0.7,6500
24,33.0,3279.7095,0.7,7000
24,33.0,3484.925,0.7,7500
24,33.0,3684.6285,0.7,8000
24,33.0,3882.725,0.7,8500
24,33.0,4089.588999999999,0.7,9000
24,33.0,4285.987000000001,0.7,9500
24,21.0,381.48694999999987,0.7999999999999999,500
24,21.0,379.91600000000005,0.7999999999999999,1000
24,30.0,1149.0705,0.7999999999999999,1500
24,30.0,1369.5875000000003,0.7999999999999999,2000
24,30.0,1585.1539999999998,0.7999999999999999,2500
24,30.0,1812.5710000000004,0.7999999999999999,3000
24,30.0,2035.5260000000003,0.7999999999999999,3500
24,30.0,2253.9105000000004,0.7999999999999999,4000
24,30.0,2483.5070000000005,0.7999999999999999,4500
24,30.0,2708.201,0.7999999999999999,5000
24,30.0,2939.1215,0.7999999999999999,5500
24,30.0,3169.566,0.7999999999999999,6000
24,30.0,3449.025499999999,0.7999999999999999,6500
24,30.0,3635.2119999999995,0.7999999999999999,7000
24,30.0,3925.244,0.7999999999999999,7500
24,30.0,4106.8645,0.7999999999999999,8000
24,30.0,4345.3195,0.7999999999999999,8500
24,30.0,4589.1455000000005,0.7999999999999999,9000
24,30.0,4829.367,0.7999999999999999,9500
30,36.0,70.521645,0.1,500
30,36.0,70.196285,0.1,1000
30,36.0,124.47599999999997,0.1,1500
30,36.0,171.30005,0.1,2000
30,40.0,580.9224499999999,0.1,2500
30,40.0,640.9819500000001,0.1,3000
30,40.0,705.98015,0.1,3500
30,40.0,765.8646500000001,0.1,4000
30,40.0,832.1478000000001,0.1,4500
30,40.0,900.5101999999999,0.1,5000
30,40.0,973.9619500000001,0.1,5500
30,40.0,1043.3425000000002,0.1,6000
30,40.0,1117.9484999999997,0.1,6500
30,40.0,1194.9454999999998,0.1,7000
30,40.0,1267.5865,0.1,7500
30,40.0,1343.5350000000003,0.1,8000
30,40.0,1427.093,0.1,8500
30,40.0,1525.806,0.1,9000
30,40.0,1588.5225,0.1,9500
30,36.0,144.5434,0.2,500
30,36.0,144.00775,0.2,1000
30,43.0,691.9118500000001,0.2,1500
30,43.0,792.9592500000001,0.2,2000
30,43.0,895.54355,0.2,2500
30,43.0,1001.1707,0.2,3000
30,43.0,1104.4105000000002,0.2,3500
30,43.0,1213.5755,0.2,4000
30,43.0,1333.0404999999996,0.2,4500
30,43.0,1443.0569999999998,0.2,5000
30,43.0,1549.0695,0.2,5500
30,43.0,1687.2095000000002,0.2,6000
30,43.0,1810.8539999999998,0.2,6500
30,43.0,1919.688,0.2,7000
30,43.0,2048.0335000000005,0.2,7500
30,43.0,2194.4005,0.2,8000
30,43.0,2347.1259999999997,0.2,8500
30,43.0,2489.3244999999997,0.2,9000
30,43.0,2611.2185,0.2,9500
30,36.0,221.23950000000005,0.30000000000000004,500
30,36.0,221.38745000000003,0.30000000000000004,1000
30,44.0,959.6551,0.30000000000000004,1500
30,44.0,1116.531,0.30000000000000004,2000
30,44.0,1263.5995000000003,0.30000000000000004,2500
30,44.0,1415.1295,0.30000000000000004,3000
30,44.0,1564.7925,0.30000000000000004,3500
30,44.0,1711.717,0.30000000000000004,4000
30,44.0,1859.9975000000002,0.30000000000000004,4500
30,44.0,2035.431,0.30000000000000004,5000
30,46.0,4328.894,0.30000000000000004,5500
30,46.0,4595.088000000001,0.30000000000000004,6000
30,46.0,4746.548499999999,0.30000000000000004,6500
30,46.0,4936.306500000001,0.30000000000000004,7000
30,46.0,5160.736000000001,0.30000000000000004,7500
30,46.0,5355.697999999999,0.30000000000000004,8000
30,46.0,5561.464999999999,0.30000000000000004,8500
30,46.0,5758.471499999999,0.30000000000000004,9000
30,46.0,5971.8015000000005,0.30000000000000004,9500
30,36.0,306.32105000000007,0.4,500
30,36.0,306.25115000000005,0.4,1000
30,43.0,1215.094,0.4,1500
30,43.0,1431.4205000000002,0.4,2000
30,43.0,1649.9904999999999,0.4,2500
30,43.0,1879.8199999999997,0.4,3000
30,43.0,2112.2960000000007,0.4,3500
30,43.0,2347.611,0.4,4000
30,43.0,2589.5359999999996,0.4,4500
30,43.0,2836.5515000000005,0.4,5000
30,43.0,3082.5965000000006,0.4,5500
30,43.0,3351.625,0.4,6000
30,43.0,3616.6050000000005,0.4,6500
30,43.0,3878.1839999999997,0.4,7000
30,43.0,4150.8544999999995,0.4,7500
30,43.0,4418.733499999999,0.4,8000
30,43.0,4709.542,0.4,8500
30,43.0,4979.9749999999985,0.4,9000
30,43.0,5262.7805,0.4,9500
30,36.0,392.63109999999995,0.5,500
30,36.0,394.2474000000001,0.5,1000
30,41.0,1317.3675,0.5,1500
30,41.0,1583.7925000000002,0.5,2000
30,41.0,1860.6664999999998,0.5,2500
30,43.0,3935.968,0.5,3000
30,43.0,4271.1985,0.5,3500
30,43.0,4676.570499999999,0.5,4000
30,43.0,4973.514999999999,0.5,4500
30,43.0,5312.411000000001,0.5,5000
30,43.0,5685.369,0.5,5500
30,43.0,6048.204,0.5,6000
30,43.0,6431.897500000001,0.5,6500
30,43.0,6817.1714999999995,0.5,7000
30,43.0,7209.651500000002,0.5,7500
30,43.0,7614.566499999999,0.5,8000
30,43.0,8009.907499999998,0.5,8500
30,43.0,8441.696,0.5,9000
30,43.0,8836.411500000002,0.5,9500
30,36.0,492.9835499999999,0.6,500
30,36.0,493.5050500000001,0.6,1000
30,40.0,1563.3694999999998,0.6,1500
30,40.0,1887.0760000000002,0.6,2000
30,40.0,2226.9999999999995,0.6,2500
30,40.0,2572.6940000000004,0.6,3000
30,40.0,2932.6075,0.6,3500
30,40.0,3290.1269999999995,0.6,4000
30,40.0,3659.4445,0.6,4500
30,40.0,4039.3035000000004,0.6,5000
30,40.0,4424.2025,0.6,5500
30,40.0,4823.197999999999,0.6,6000
30,40.0,5226.336999999999,0.6,6500
30,40.0,5633.2985,0.6,7000
30,40.0,6067.7185,0.6,7500
30,40.0,6465.7265,0.6,8000
30,40.0,6918.8505000000005,0.6,8500
30,40.0,7351.294,0.6,9000
30,40.0,7801.522000000002,0.6,9500
30,36.0,598.1442000000001,0.7,500
30,36.0,597.5184999999999,0.7,1000
30,46.0,2260.0769999999998,0.7,1500
30,46.0,2671.946,0.7,2000
30,46.0,3082.6770000000006,0.7,2500
30,46.0,3511.318499999999,0.7,3000
30,46.0,3953.6415000000006,0.7,3500
30,46.0,4404.925499999999,0.7,4000
30,46.0,4857.7885000000015,0.7,4500
30,46.0,5321.8115,0.7,5000
30,46.0,5795.2919999999995,0.7,5500
30,46.0,6261.735500000001,0.7,6000
30,46.0,6754.161999999999,0.7,6500
30,46.0,7255.1345,0.7,7000
30,46.0,7755.943000000001,0.7,7500
30,46.0,8265.793500000002,0.7,8000
30,46.0,8775.227,0.7,8500
30,46.0,9317.235499999999,0.7,9000
30,46.0,9822.313,0.7,9500
30,36.0,711.1528500000001,0.7999999999999999,500
30,36.0,710.19985,0.7999999999999999,1000
30,47.0,2264.627,0.7999999999999999,1500
30,47.0,2698.433,0.7999999999999999,2000
30,47.0,3129.0415000000003,0.7999999999999999,2500
30,47.0,3566.0304999999994,0.7999999999999999,3000
30,47.0,4056.793,0.7999999999999999,3500
30,47.0,4445.413000000001,0.7999999999999999,4000
30,47.0,4886.959000000001,0.7999999999999999,4500
30,47.0,5327.1449999999995,0.7999999999999999,5000
30,47.0,5773.720499999999,0.7999999999999999,5500
30,47.0,6229.2615000000005,0.7999999999999999,6000
30,47.0,6663.582,0.7999999999999999,6500
30,47.0,7100.2455,0.7999999999999999,7000
30,47.0,7549.225,0.7999999999999999,7500
30,47.0,8003.1539999999995,0.7999999999999999,8000
30,47.0,8457.008,0.7999999999999999,8500
30,47.0,8897.5735,0.7999999999999999,9000
30,47.0,9360.486499999999,0.7999999999999999,9500
