N,Impacto,Tiempo,densidadG,densidadH,nombreExperimento
28,0.0,1700.9009999999994,alta,baja,GaltaHbaja
28,0.0,2047.646,alta,media,GaltaHmedia
28,0.0,2340.7060000000006,alta,alta,GaltaHalta
29,0.0,230.3243,baja,baja,GbajaHbaja
29,30.0,316.88019999999995,baja,media,GbajaHmedia
29,93.0,363.1492,baja,alta,GbajaHalta
29,0.0,903.8367000000001,media,baja,GmediaHbaja
29,0.0,1144.834,media,media,GmediaHmedia
29,17.0,1290.927,media,alta,GmediaHalta
29,0.0,1923.136,alta,baja,GaltaHbaja
29,0.0,2351.853,alta,media,GaltaHmedia
29,0.0,2571.1100000000006,alta,alta,GaltaHalta
30,0.0,241.24769999999998,baja,baja,GbajaHbaja
30,38.0,334.2890999999999,baja,media,GbajaHmedia
30,107.0,380.8447,baja,alta,GbajaHalta
30,0.0,1142.4,media,baja,GmediaHbaja
30,0.0,1489.4,media,media,GmediaHmedia
30,17.0,1644.065,media,alta,GmediaHalta
30,0.0,2334.985,alta,baja,GaltaHbaja
30,0.0,2879.288,alta,media,GaltaHmedia
30,0.0,3184.775,alta,alta,GaltaHalta
31,0.0,226.2317,baja,baja,GbajaHbaja
31,47.0,319.4853,baja,media,GbajaHmedia
31,122.0,365.7166,baja,alta,GbajaHalta
31,0.0,1237.0700000000002,media,baja,GmediaHbaja
31,0.0,1633.6550000000002,media,media,GmediaHmedia
31,17.0,1842.497,media,alta,GmediaHalta
31,0.0,2493.673,alta,baja,GaltaHbaja
31,0.0,3129.9359999999997,alta,media,GaltaHmedia
31,0.0,3457.5989999999997,alta,alta,GaltaHalta
32,0.0,294.7569,baja,baja,GbajaHbaja
32,41.0,409.33779999999996,baja,media,GbajaHmedia
32,122.0,480.82939999999996,baja,alta,GbajaHalta
32,0.0,1219.6209999999999,media,baja,GmediaHbaja
32,0.0,1579.458,media,media,GmediaHmedia
32,23.0,1807.9669999999999,media,alta,GmediaHalta
32,0.0,2815.6039999999994,alta,baja,GaltaHbaja
32,0.0,3465.5019999999995,alta,media,GaltaHmedia
32,0.0,3878.6989999999996,alta,alta,GaltaHalta
33,0.0,277.23269999999997,baja,baja,GbajaHbaja
33,47.0,379.17589999999996,baja,media,GbajaHmedia
33,138.0,478.53330000000005,baja,alta,GbajaHalta
33,0.0,1419.1240000000003,media,baja,GmediaHbaja
33,0.0,1789.809,media,media,GmediaHmedia
33,23.0,2070.452,media,alta,GmediaHalta
33,0.0,3368.8049999999994,alta,baja,GaltaHbaja
33,0.0,3991.5939999999996,alta,media,GaltaHmedia
33,0.0,4533.102999999999,alta,alta,GaltaHalta
34,0.0,382.70230000000004,baja,baja,GbajaHbaja
34,47.0,540.5193,baja,media,GbajaHmedia
34,138.0,645.0952,baja,alta,GbajaHalta
34,0.0,1750.466,media,baja,GmediaHbaja
34,0.0,2220.486,media,media,GmediaHmedia
34,23.0,2565.0359999999996,media,alta,GmediaHalta
34,0.0,3515.843,alta,baja,GaltaHbaja
34,0.0,4274.446000000001,alta,media,GaltaHmedia
34,0.0,4867.231,alta,alta,GaltaHalta
35,0.0,378.0388,baja,baja,GbajaHbaja
35,53.0,518.3102,baja,media,GbajaHmedia
35,152.0,744.1831999999999,baja,alta,GbajaHalta
35,0.0,1682.2189999999998,media,baja,GmediaHbaja
35,0.0,2098.9910000000004,media,media,GmediaHmedia
35,27.0,2845.454,media,alta,GmediaHalta
35,0.0,4207.341,alta,baja,GaltaHbaja
35,0.0,4918.5289999999995,alta,media,GaltaHmedia
35,0.0,6129.5340000000015,alta,alta,GaltaHalta
