N,Impacto,Tiempo,densidadG,densidadH,nombreExperimento
33,0.0,2.0643890000000003,alta,alta,GaltaHalta
34,0.0,0.2981469,baja,baja,GbajaHbaja
34,47.0,0.4424773000000001,baja,media,GbajaHmedia
34,138.0,0.45869780000000004,baja,alta,GbajaHalta
34,0.0,0.7456991,media,baja,GmediaHbaja
34,0.0,1.258846,media,media,GmediaHmedia
34,23.0,1.499221,media,alta,GmediaHalta
34,0.0,1.142244,alta,baja,GaltaHbaja
34,0.0,1.7544049999999998,alta,media,GaltaHmedia
34,0.0,2.3089079999999997,alta,alta,GaltaHalta
35,0.0,0.3153007,baja,baja,GbajaHbaja
35,53.0,0.422687,baja,media,GbajaHmedia
35,152.0,0.49583189999999994,baja,alta,GbajaHalta
35,0.0,0.7140597,media,baja,GmediaHbaja
35,0.0,1.258949,media,media,GmediaHmedia
35,27.0,1.4970340000000002,media,alta,GmediaHalta
35,0.0,1.807866,alta,baja,GaltaHbaja
35,0.0,2.645559,alta,media,GaltaHmedia
35,0.0,3.746378,alta,alta,GaltaHalta
36,0.0,0.35003900000000004,baja,baja,GbajaHbaja
36,56.0,0.45686679999999996,baja,media,GbajaHmedia
36,167.0,0.5918562,baja,alta,GbajaHalta
36,0.0,0.834721,media,baja,GmediaHbaja
36,0.0,1.3951920000000002,media,media,GmediaHmedia
36,25.0,1.589999,media,alta,GmediaHalta
36,0.0,1.9810269999999999,alta,baja,GaltaHbaja
36,0.0,3.0192870000000003,alta,media,GaltaHmedia
36,0.0,4.14678,alta,alta,GaltaHalta
37,0.0,0.3719532,baja,baja,GbajaHbaja
37,57.0,0.4736774,baja,media,GbajaHmedia
37,165.0,0.6046627,baja,alta,GbajaHalta
37,0.0,0.871048,media,baja,GmediaHbaja
37,0.0,1.5053740000000002,media,media,GmediaHmedia
37,23.0,1.8492639999999998,media,alta,GmediaHalta
37,0.0,2.147244,alta,baja,GaltaHbaja
37,0.0,3.2929170000000005,alta,media,GaltaHmedia
37,0.0,4.597115,alta,alta,GaltaHalta
38,0.0,0.4019328,baja,baja,GbajaHbaja
38,67.0,0.5135073,baja,media,GbajaHmedia
38,180.0,0.5901334,baja,alta,GbajaHalta
38,0.0,0.9391619,media,baja,GmediaHbaja
38,0.0,1.60154,media,media,GmediaHmedia
38,29.0,2.16453,media,alta,GmediaHalta
38,0.0,2.4486239999999997,alta,baja,GaltaHbaja
38,0.0,3.655757,alta,media,GaltaHmedia
38,0.0,6.339603,alta,alta,GaltaHalta
39,0.0,0.45462929999999996,baja,baja,GbajaHbaja
39,59.0,0.6718741,baja,media,GbajaHmedia
39,177.0,0.7859459999999999,baja,alta,GbajaHalta
39,0.0,0.9767243999999998,media,baja,GmediaHbaja
39,0.0,1.7615959999999997,media,media,GmediaHmedia
39,30.0,2.076552,media,alta,GmediaHalta
39,0.0,2.7652400000000004,alta,baja,GaltaHbaja
39,0.0,4.149081999999999,alta,media,GaltaHmedia
39,0.0,6.301190999999999,alta,alta,GaltaHalta
40,0.0,0.45860700000000004,baja,baja,GbajaHbaja
40,68.0,0.6598525,baja,media,GbajaHmedia
40,194.0,0.8498978000000001,baja,alta,GbajaHalta
40,0.0,1.1335380000000002,media,baja,GmediaHbaja
40,0.0,1.9199699999999997,media,media,GmediaHmedia
40,30.0,2.376574,media,alta,GmediaHalta
40,0.0,3.3388979999999995,alta,baja,GaltaHbaja
40,0.0,4.555896,alta,media,GaltaHmedia
40,0.0,5.871287,alta,alta,GaltaHalta
